                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96227,                0.88391,                 1.1106,                0.79882,                0.78529,                0.84752,                0.67451,                0.84223,                0.65167,                0.97984,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.91905,                0.82807,                 1.0726,                0.82679,                 0.7819,                0.85066,                0.67688,                0.83728,                0.64615,                0.97598,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.94368,                0.88036,                 1.1152,                0.82792,                0.77998,                0.85061,                0.68699,                 0.8336,                0.63506,                0.97434,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 0.9294,                0.83212,                 1.0881,                0.80181,                0.80372,                0.85451,                0.69131,                0.82646,                0.62624,                0.97159,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.92253,                0.83162,                 1.0866,                0.80334,                0.80847,                0.85628,                0.68965,                0.82669,                0.62055,                0.97117,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90169,                0.82195,                 1.0821,                0.80594,                0.80082,                0.85605,                0.68952,                0.82619,                0.61786,                0.96986,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.92396,                0.81386,                 1.0698,                0.81187,                0.80107,                0.85688,                0.69373,                0.82586,                0.61409,                 0.9688,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92368,                0.83197,                 1.0723,                0.84839,                0.78184,                0.86814,                0.69425,                0.82223,                0.60963,                0.96617,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90236,                 0.7851,                 1.0611,                 0.8621,                0.77872,                0.86309,                0.69887,                0.81456,                0.60998,                0.96368,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.86091,                0.77784,                 1.0467,                0.86631,                0.78374,                0.86926,                 0.7001,                0.80792,                0.60702,                0.96141,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92636,                0.81798,                 1.0535,                 0.8789,                0.77609,                0.86316,                0.70759,                0.80204,                0.60347,                0.95876,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.89249,                0.80488,                 1.0718,                0.88556,                0.77322,                0.86333,                0.70823,                 0.8004,                0.60065,                0.95812,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.91258,                0.77498,                 1.0495,                0.88024,                0.76835,                0.86063,                0.70871,                0.79775,                0.59697,                0.95681,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.89018,                0.77663,                 1.0676,                0.90194,                0.77161,                0.86196,                0.70981,                0.79363,                0.59214,                0.95374,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88321,                0.78264,                  1.063,                0.89828,                0.78197,                0.87252,                0.71303,                0.79127,                0.59112,                0.95163,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.90576,                0.78966,                 1.0544,                0.90062,                0.78185,                0.87241,                0.71365,                0.78961,                0.58915,                0.95045,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91656,                0.81495,                 1.0701,                0.91327,                0.77449,                0.87276,                0.70954,                0.79075,                0.58792,                 0.9503,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.85657,                0.74083,                 1.0467,                0.91351,                0.78134,                0.87248,                0.70804,                0.79089,                 0.5891,                0.94942,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.92224,                0.76612,                 1.0659,                0.90104,                 0.7839,                0.87558,                0.71204,                0.78665,                0.58405,                0.94728,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.87783,                0.76075,                 1.0599,                0.89447,                   0.79,                0.87545,                0.71403,                0.78137,                0.58056,                0.94573,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.87708,                0.74865,                 1.0351,                0.86101,                0.82455,                0.87774,                0.71291,                0.77526,                0.57423,                0.94471,             5.8917e-05,             5.8917e-05,             5.8917e-05
